tau_cal_0,tau_cal_1,tau_cal_2,tau_cal_3,tau_est_0,tau_est_1,tau_est_2,tau_est_3,joint_pos_0,joint_pos_1,joint_pos_2,joint_pos_3,joint_pos_target_0,joint_pos_target_1,joint_pos_target_2,joint_pos_target_3,joint_vel_0,joint_vel_1,joint_vel_2,joint_vel_3
2.622355,1.762346,-24.008207,3.77795,2.116691,-0.573516,-39.022868,-6.88018,0.038624,-0.027751,0.026537,-0.055217,0.179269,0.086783,-0.993548,0.067031,1.15011,0.836837,-0.746959,-0.360875
1.167131,1.193102,-19.832742,2.363487,1.589043,0.224292,-33.599952,-6.898839,0.051758,-0.018008,0.019095,-0.05965,0.167523,0.104298,-0.825923,0.008739,1.442322,1.238039,-0.646354,-0.326881
0.507899,1.01158,-15.555888,0.532661,-0.70709,-0.491969,-29.002194,-6.924139,0.06734,-0.00443,0.011663,-0.061127,0.160327,0.103198,-0.641415,-0.03056,1.373323,1.10863,-0.385531,0.115757
-0.218238,-0.812734,-11.924405,-0.196553,0.059011,0.227295,-24.415936,-5.591927,0.081745,0.010919,0.008625,-0.059354,0.155995,0.090837,-0.478416,-0.043247,1.408494,1.605137,-0.12581,0.299614
-0.48581,-1.822966,-9.424234,0.683798,1.240197,-0.223349,-19.191922,-4.750111,0.094402,0.025974,0.008823,-0.057877,0.146046,0.069964,-0.350899,-0.021809,1.146675,1.571333,0.215592,0.108951
0.0126380000000004,-2.559448,-7.933912,-0.208391,2.128152,-0.556412,-15.261668,-4.508683,0.103599,0.043393,0.011698,-0.054036,0.137411,0.048354,-0.268866,-0.000825,0.585391,1.354139,0.459906,0.769333
0.962658,-1.21722,-5.826781,-1.110166,1.951713,-0.290045,-10.036985,-3.97538,0.106949,0.052254,0.014029,-0.04281,0.142817,0.029376,-0.209174,0.019498,0.146361,0.26544,0.123353,1.333933
0.855181999999999,-0.405772,-2.336632,-1.748734,0.591497,-0.034085,-6.100738,-1.840349,0.10866,0.050776,0.009117,-0.029226,0.148664,0.011382,-0.150151,0.001518,0.272479,-0.388024,-0.822534,1.258667
0.782376,-0.591978,-1.732799,0.27411,0.887333,-0.373356,-4.572615,0.046698,0.111903,0.045755,0.001693,-0.024206,0.147077,-0.000295,-0.10983,-0.026848,0.224357,-0.394761,-0.527638,-0.17008
0.482515,-0.401138,-0.713894,0.0321869999999999,0.710034,-0.109918,-2.285526,-0.449455,0.115523,0.040143,-0.003081,-0.027454,0.147108,-0.004079,-0.068965,-0.050659,0.31148,-0.462761,-0.466603,-0.306156
0.199042,0.409816,0.589583,-1.480226,0.177579,0.227959,-1.581679,-0.526504,0.118572,0.034827,-0.008237,-0.029521,0.152068,-0.003226,-0.021916,-0.076211,0.486659,-0.775703,-0.465779,0.156488
0.478881,0.17807,1.22368,-1.13089,0.236741,-0.188394,-0.468466,-0.945506,0.122181,0.029807,-0.013199,-0.028931,0.156628,-0.001451,0.006519,-0.082875,0.363382,-0.557905,-0.365365,-0.108855
0.772785,-0.110432,2.317894,-1.078422,3.1e-05,0.18934,0.936663,-0.494165,0.125789,0.024197,-0.016637,-0.029522,0.16161,-0.003975,0.050383,-0.07157,0.240475,-0.367364,-0.321197,0.013611
