Time,w_f_0,F_0,N1_0,N2_0,P3_0,T5_0
0.76,1.24724863852879,46.6615128222983,8135.79616856196,13667.9211050005,2022.91041775525,1147.35790596714
0.765,1.24984843350083,47.4754708616357,8136.6101266013,13668.7350630398,2023.72437579459,1148.17186400648
0.77,1.25243610910064,45.1743760944523,8134.30903183412,13666.4339682726,2021.4232810274,1145.87076923929
0.775,1.25501160235915,46.805718094345,8135.94037383401,13668.0653102725,2023.05462302729,1147.50211123919
0.78,1.25757485061186,48.2855239191237,8146.41000136588,13676.8593060735,2037.00788690389,1154.73223344348
0.785,1.26012579150037,47.2616994246721,8145.38617687143,13675.835481579,2035.98406240944,1153.70840894903
0.79,1.26266436297399,46.9548991403742,8145.07937658713,13675.5286812947,2035.67726212514,1153.40160866474
0.795,1.26519050329123,44.3749089533929,8142.49938640015,13672.9486911077,2033.09727193816,1150.82161847775
0.8,1.40661400547515,45.3807718994554,8157.65011981933,13685.0686461615,2048.17891448691,1156.4733127709
0.805,1.40933473526465,44.0767597606194,8156.34610768049,13683.7646340226,2046.87490234808,1155.16930063206
0.81,1.41204285054418,45.5598663355052,8157.82921425538,13685.2477405975,2048.35800892296,1156.65240720695
0.815,1.41473829082457,47.4306088192179,8159.69995673909,13687.1184830812,2050.22875140667,1158.52314969066
0.82,1.41742099593351,47.3352768513162,8177.82703445259,13701.1189504444,2071.81095753883,1167.45834183223
0.825,1.42009090601709,46.0565105645477,8176.54826816583,13699.8401841576,2070.53219125206,1166.17957554546
0.83,1.42274796154126,50.8492694532786,8181.34102705456,13704.6329430464,2075.32495014079,1170.97233443419
0.835,1.42539210329334,46.5965469037483,8177.08830450503,13700.3802204968,2071.07222759126,1166.71961188466
0.84,1.42802327238349,48.0731184897212,8204.55149776959,13721.742424255,2096.38806512047,1175.23139028634
0.845,1.43064141024619,47.9780242661965,8204.45640354606,13721.6473300315,2096.29297089695,1175.13629606282
0.85,1.4332464586417,48.2232149560151,8204.70159423588,13721.8925207213,2096.53816158677,1175.38148675264
0.855,1.43583835965751,49.2067657872361,8205.6851450671,13722.8760715526,2097.52171241799,1176.36503758386
0.86,1.43841705570979,45.3710458526533,8233.95138380039,13743.4953389238,2119.17414282325,1177.91249009728
0.865,1.44098248954485,46.4074435354197,8234.98778148316,13744.5317366065,2120.21054050602,1178.94888778004
0.87,1.44353460424055,46.1906436591709,8234.77098160691,13744.3149367303,2119.99374062977,1178.73208790379
0.875,1.44607334320772,49.1307809552012,8237.71111890294,13747.2550740263,2122.9338779258,1181.67222519982
0.88,1.44859865019158,49.2233565920469,8274.67861821577,13775.3779656692,2149.7370532409,1185.78698836831
0.885,1.45111046927316,49.217787081059,8274.67304870478,13775.3723961582,2149.73148372991,1185.78141885732
0.89,1.45360874487068,49.3340174587124,8274.78927908244,13775.4886265358,2149.84771410757,1185.89764923498
0.895,1.45609342174095,50.8332696496418,8276.28853127337,13776.9878787268,2151.3469662985,1187.3969014259
0.9,1.35579980530981,49.4088179322097,8315.41740913431,13806.3574440099,2177.50521311386,1188.88113862049
0.905,1.35809463519511,47.6286715175484,8313.63726271965,13804.5772975952,2175.7250666992,1187.10099220583
0.91,1.36037570266886,48.4498169851564,8314.45840818726,13805.3984430629,2176.54621216681,1187.92213767344
0.915,1.36264295385595,48.3160482963538,8314.32463949845,13805.2646743741,2176.412443478,1187.78836898464
0.92,1.36489633522666,48.6894229287404,8358.11326560237,13838.608571568,2200.19772290311,1186.39309231897
0.925,1.36713579359804,50.6977658410418,8360.12160851467,13840.6169144803,2202.20606581541,1188.40143523127
0.93,1.36936127613517,48.3744588372989,8357.79830151093,13838.2936074766,2199.88275881167,1186.07812822753
